song_name,name,song_id,popularity
Ain't No Mountain High Enough,Marvin Gaye,1LeWIs2hP2r5yOQnVuYoI5,0
Ain't No Mountain High Enough,Tammi Terrell,1LeWIs2hP2r5yOQnVuYoI5,0
Brighter Than The Sun,Colbie Caillat,5YTtTbqxUzJHD3CpbNHerP,61
Sweet Caroline - Single Version,Neil Diamond,6l7tK5SsMlN8a9ccgeIkpS,0
Love Shack,The B-52's,4W4wYHtsrgDiivRASVOINL,71
Walking On Sunshine,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,79
Riptide,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,85
Ho Hey,The Lumineers,2nXM8IVqKtyO6JKsLlXWAy,17
Don't Stop Believin',Journey,3HRQtRUYnnuZY7fE900XtJ,59
All Star,Smash Mouth,22c2pt75xtnDddA5Zlm0yy,0
Single Ladies (Put a Ring on It),Beyoncé,5R9a4t5t5O0IsznsrKPVro,68
Ridin' Solo,Jason Derulo,7ksYJ95P5vP87A0GH34CIk,54
What Makes You Beautiful,One Direction,03oZejWqXLbKhhM4iTgShq,0
Call Me Maybe,Carly Rae Jepsen,20I6sIOMTCkB6w7ryavxtO,83
Sweet Home Alabama,Lynyrd Skynyrd,6RgGppm2SSX5p246UqfdEi,0
Livin' On A Prayer,Bon Jovi,3X7abqSXC4xrxuC1ykpWcY,0
Have You Ever Seen The Rain,Creedence Clearwater Revival,2LawezPeJhN4AWuSB0GtAU,88
September,"Earth, Wind & Fire",5e3l460eVGMNqQgFc9Rv7q,0
Ice Ice Baby,Vanilla Ice,66AiuTr5v9tw6B8gXau2aU,30
Say Something,A Great Big World,6Vc5wAMmXdKIAM7WUoEb7N,72
Say Something,Christina Aguilera,6Vc5wAMmXdKIAM7WUoEb7N,72
Life is a Highway,Rascal Flatts,2Fs18NaCDuluPG1DHGw1XG,73
Just the Way You Are,Bruno Mars,7BqBn9nzAq8spo5e7cZ0dJ,84
Jack & Diane,John Mellencamp,43btz2xjMKpcmjkuRsvxyg,74
Free Fallin',Tom Petty,7woZGXjtaYwuvSoU1zToB3,0
Home,Phillip Phillips,4rsW3WCZBGwhHfJWuHRwyT,1
Chicken Fried,Zac Brown Band,4dGJf1SER1T6ooX46vwzRB,0
Love Story,Taylor Swift,0kN3oXYWWAk1uC0y2WoyOE,49
Wagon Wheel,Darius Rucker,3xdjjKMcMOFgo1eQrfbogM,79
Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,88
Timber,Pitbull,3cHyrEgdyYRjgJKSOiOtcS,84
Timber,Kesha,3cHyrEgdyYRjgJKSOiOtcS,84
Song of the South,Alabama,4uUwD0uYzIDjKMKQglzmD2,46
Dixieland Delight - Single Edit,Alabama,4swEkkLocrQ569W1lYIbdX,0
"Hey, Soul Sister",Train,7lJSxSUUlrZ7CxiyO3X0vq,0
